country_code,pincode,state_original,major_city,latitude,longitude,region,coastal_city,distance_to_state_capital,city_tier,is_metro_city,is_smart_city,is_state_capital,is_union_territory_capital,literacy_rate,median_age_estimate,consumer_price_index,income_bucket,has_airport,has_international_airport,has_metro_rail,has_seaport,major_railway_station,internet_penetration_state,smartphone_penetration_state,digital_payment_index,is_it_hub,is_manufacturing_hub,is_financial_center,is_textile_hub,is_education_hub,is_tourist_city,is_coastal,district_population_numeric,district_population,sex_ratio
USA,24628,VA,Maxie,37.28718,-82.21771,S,f,467.753758,T3,f,f,f,f,16.666666666666664,58.7,315.605,M,f,f,f,f,f,81.69934640522875,79.08496732026144,67.859477124183,f,f,f,f,f,f,f,295,VS,819.7674418604652
USA,24640,VA,Red Ash,37.1134,-81.871,S,f,431.955931,T3,f,f,f,f,17.680347737831887,62.0,315.605,L,f,f,f,f,f,67.04545454545455,100.0,74.81818181818181,f,f,f,f,f,f,f,39624,VS,2766.666666666667
USA,24647,VA,Shortt Gap,37.1573,-81.8729,S,f,434.004783,T3,f,f,f,f,21.38364779874214,43.7,315.605,M,f,f,f,f,f,87.46666666666667,92.0,84.68666666666667,f,f,f,f,f,f,f,25538,VS,1348.4978540772531
USA,24658,VA,Wolford,37.288,-82.0274,S,f,452.356497,T3,f,f,f,f,5.627538193772964,49.3,315.605,L,f,f,f,f,f,77.42299023290758,78.099173553719,61.303906836964686,f,f,f,f,f,f,f,13733,VS,1029.214850882532
USA,24732,WV,Kellysville,37.3448,-80.9279,S,f,127.736551,T3,f,f,f,f,16.443863704894966,47.1,315.605,M,f,f,f,f,f,84.60620525059666,82.90146607569042,80.35799522673031,f,f,f,f,f,f,f,6199,VS,1169.615145872129
USA,24751,WV,Wolfe,37.3073,-81.3287,S,f,118.953558,T3,f,f,f,f,10.979371719541469,45.75,315.605,M,f,f,f,f,f,85.39244186046511,81.13207547169812,10.0,f,f,f,f,f,f,f,58563,VS,990.9502262443436
USA,24829,WV,Eckman,37.3752,-81.6539,S,f,108.386705,T3,f,f,f,f,10.979371719541469,45.75,315.605,M,f,f,f,f,f,100.0,81.13207547169812,40.0,f,f,f,f,f,f,f,17943,VS,990.9502262443436
USA,24859,WV,Marianna,37.6033,-81.54,S,f,83.402869,T3,f,f,f,f,5.68760611205433,45.9,315.605,M,f,f,f,f,f,70.74721780604133,74.0858505564388,61.72893481717011,f,f,f,f,f,f,f,20629,VS,1164.9122807017543
USA,24902,WV,Fairlea,37.7747,-80.4615,S,f,120.834399,T3,f,f,f,f,9.894657637321297,48.1,315.605,L,f,f,f,f,f,80.08898776418243,78.30923248053394,62.44382647385985,f,f,f,f,f,f,f,12386,VS,1223.7804878048782
USA,25026,WV,Blue Creek,38.4908,-81.3928,S,f,26.119842,T3,f,f,f,f,16.68353149506704,47.2,315.605,M,f,f,f,f,f,89.27835051546393,82.72623138602519,82.16552119129439,f,f,f,f,f,f,f,176537,VS,1107.5901328273244
USA,25079,WV,Falling Rock,38.4951,-81.3984,S,f,26.024933,T3,f,f,f,f,16.68353149506704,47.2,315.605,M,f,f,f,f,f,89.27835051546393,82.72623138602519,82.16552119129439,f,f,f,f,f,f,f,176537,VS,1107.5901328273244
USA,25317,WV,Charleston,38.3356,-81.6138,S,f,2.276261,T3,f,f,t,f,10.979371719541469,45.75,315.605,M,t,t,f,t,t,85.39244186046511,81.13207547169812,10.0,t,t,f,f,t,t,f,176537,VS,990.9502262443436
USA,25322,WV,Charleston,38.3498,-81.6326,S,f,0.0,T3,f,f,t,f,19.76905311778291,54.9,315.605,L,t,t,f,t,t,78.55697909642616,82.67026298044505,73.35738368172623,t,t,f,f,t,t,f,176537,VS,663.1158455392808
USA,25323,WV,Charleston,38.3498,-81.6326,S,f,0.0,T3,f,f,t,f,19.76905311778291,54.9,315.605,L,t,t,f,t,t,78.55697909642616,82.67026298044505,73.35738368172623,t,t,f,f,t,t,f,176537,VS,663.1158455392808
